Stock,yr,ct,bt
NCod,1508,156,NA
NCod,1509,203,NA
NCod,1510,251,NA
NCod,1511,188,NA
NCod,1512,125,NA
NCod,1513,125,NA
NCod,1514,125,NA
NCod,1515,125,NA
NCod,1516,125,NA
NCod,1517,125,NA
NCod,1518,251,NA
NCod,1519,376,NA
NCod,1520,501,NA
NCod,1521,125,NA
NCod,1522,376,NA
NCod,1523,156,NA
NCod,1524,125,NA
NCod,1525,376,NA
NCod,1526,627,NA
NCod,1527,877,NA
NCod,1528,501,NA
NCod,1529,125,NA
NCod,1530,376,NA
NCod,1531,251,NA
NCod,1532,125,NA
NCod,1533,251,NA
NCod,1534,125,NA
NCod,1535,376,NA
NCod,1536,125,NA
NCod,1537,1128,NA
NCod,1538,376,NA
NCod,1539,376,NA
NCod,1540,125,NA
NCod,1541,9658,NA
NCod,1542,752,NA
NCod,1543,1505,NA
NCod,1544,251,NA
NCod,1545,156,NA
NCod,1546,3011,NA
NCod,1547,1631,NA
NCod,1548,1631,NA
NCod,1549,12418,NA
NCod,1550,156,NA
NCod,1551,219,NA
NCod,1552,219,NA
NCod,1553,657,NA
NCod,1554,219,NA
NCod,1555,23894,NA
NCod,1556,1752,NA
NCod,1557,2631,NA
NCod,1558,84,NA
NCod,1559,11179,NA
NCod,1560,8330,NA
NCod,1561,6794,NA
NCod,1562,657,NA
NCod,1563,2409,NA
NCod,1564,10741,NA
NCod,1565,26084,NA
NCod,1566,876,NA
NCod,1567,745,NA
NCod,1568,613,NA
NCod,1569,482,NA
NCod,1570,350,NA
NCod,1571,219,NA
NCod,1572,3069,NA
NCod,1573,219,NA
NCod,1574,1314,NA
NCod,1575,4164,NA
NCod,1576,1533,NA
NCod,1577,3726,NA
NCod,1578,2409,NA
NCod,1579,2409,NA
NCod,1580,3507,NA
NCod,1581,1314,NA
NCod,1582,3288,NA
NCod,1583,2190,NA
NCod,1584,657,NA
NCod,1585,10301,NA
NCod,1586,8285,NA
NCod,1587,6268,NA
NCod,1588,4252,NA
NCod,1589,2235,NA
NCod,1590,219,NA
NCod,1591,219,NA
NCod,1592,219,NA
NCod,1593,219,NA
NCod,1594,219,NA
