Region,Year,total_landings,total_landings_km2,RM6,RM12,RM12_LME,SimpsonsE,SimpsonsE_6,SimpsonsE_12,prop_demersal,prop_pelagic,prop_invert,prop_demersal_6,prop_pelagic_6,prop_invert_6,prop_demersal_12,prop_pelagic_12,prop_invert_12
NFLS,1971,911267,1.337549318,9.52118756,17.09930926,20.47607228,0.404148988,0.3878908,0.378163446,0.903195222,0.094938147,0.001866632,0.923968979,0.075024662,0.00100636,0.937317565,0.052839084,0.009843351
NFLS,1972,940927,1.381083993,9.583167962,17.21522216,20.91161387,0.408877027,0.396328826,0.379764872,0.897290651,0.100527459,0.002181891,0.913084353,0.085601964,0.001313683,0.935085264,0.057404076,0.007510661
NFLS,1973,929885,1.364876647,9.256415714,17.2397695,21.4842451,0.538291264,0.420290271,0.390673394,0.745968588,0.250523452,0.003507961,0.883073577,0.115242726,0.001683697,0.920667741,0.074678516,0.004653742
NFLS,1974,964628,1.415872103,8.724166882,17.42334022,22.22544524,0.550714562,0.446616219,0.40183606,0.731439477,0.265062801,0.003497721,0.851446732,0.146239741,0.002313527,0.906085885,0.092366997,0.001547119
NFLS,1975,891584,1.308658791,8.243751615,17.6282673,22.7434025,0.616375299,0.486469439,0.421435876,0.645574618,0.352170968,0.002254415,0.805123535,0.192298317,0.002578148,0.881665366,0.116662454,0.00167218
NFLS,1976,773527,1.135375813,7.943416665,17.4685335,22.87117072,0.646765909,0.52745636,0.443415757,0.595974025,0.400231666,0.003794308,0.758184218,0.238982168,0.002833613,0.855125289,0.143170435,0.001704276
NFLS,1977,618540,0.907887321,7.513754668,17.03494223,22.59125054,0.598242659,0.558304734,0.460448428,0.677409707,0.313399295,0.009190998,0.722610323,0.273615765,0.003773912,0.835153911,0.16261902,0.002227069
NFLS,1978,496438,0.728667129,6.861337803,16.44450577,22.1268141,0.499290767,0.58198523,0.471817218,0.795734815,0.184466137,0.019799048,0.69521555,0.298988235,0.005796215,0.822180347,0.17463567,0.003183983
NFLS,1979,536222,0.787061718,6.283522874,15.53993859,21.20563552,0.421703276,0.573261869,0.480787902,0.884051755,0.090956731,0.024991515,0.707844471,0.283457905,0.008697625,0.812220266,0.183259978,0.004519756
NFLS,1980,432587,0.634947218,5.50259799,14.22676487,19.940968,0.412747643,0.56181424,0.490243787,0.894888196,0.07752429,0.027587514,0.723356304,0.264428373,0.012215323,0.801904187,0.19195249,0.006143322
NFLS,1981,448976,0.659002842,4.85294204,13.09669365,18.80549118,0.435638929,0.527777746,0.501452345,0.868792541,0.095196625,0.036010834,0.764080586,0.217786704,0.018132711,0.789915188,0.201742965,0.008341846
NFLS,1982,487763,0.715934043,4.43350027,12.37691693,17.93635448,0.428501529,0.473412342,0.509082456,0.877337969,0.079493525,0.043168506,0.825420142,0.148732373,0.025847485,0.782268608,0.206654045,0.011077347
