"","Year","Region","sum_geom_dens","scale_sum_geom_dens","spcode"
"1",1973,"NFLS",6.08901340824962,-0.406911148594404,"sum"
"2",1974,"NFLS",2.6810376154601,-0.750997248841935,"sum"
"3",1975,"NFLS",9.42910939219419,-0.0696785297478933,"sum"
"4",1976,"NFLS",7.26492180894004,-0.28818561753343,"sum"
"5",1977,"NFLS",14.574279955046,0.449803350911522,"sum"
"6",1978,"NFLS",13.4027802906926,0.331522947687562,"sum"
"7",1979,"NFLS",19.3864429146433,0.935663136073944,"sum"
"8",1980,"NFLS",31.4082785190546,2.14944714818189,"sum"
"9",1981,"NFLS",15.7644696860817,0.569970795754648,"sum"
"10",1982,"NFLS",21.9758785317976,1.19710536968188,"sum"
"11",1983,"NFLS",22.6254218508024,1.2626864774031,"sum"
"12",1984,"NFLS",28.5026660145677,1.85608213144243,"sum"
"13",1985,"NFLS",15.7559124965003,0.569106819549656,"sum"
"14",1986,"NFLS",29.3925577254835,1.94593000216366,"sum"
"15",1987,"NFLS",20.2013718279731,1.01794239180102,"sum"
"16",1988,"NFLS",19.4899301163879,0.946111716063618,"sum"
"17",1989,"NFLS",15.2733121397754,0.520381099409607,"sum"
"18",1990,"NFLS",10.298741907095,0.018123872291985,"sum"
"19",1991,"NFLS",8.07442817920335,-0.206453848587548,"sum"
"20",1992,"NFLS",3.07933740105707,-0.710782931520358,"sum"
"21",1993,"NFLS",1.239376941119,-0.896554444513275,"sum"
"22",1994,"NFLS",0.542555879679288,-0.96690894706239,"sum"
"23",1995,"NFLS",0.850686094196649,-0.935798595836882,"sum"
"24",1996,"NFLS",0.513867364177543,-0.969805481551213,"sum"
"25",1997,"NFLS",0.710452092276582,-0.949957314612077,"sum"
"26",1998,"NFLS",0.534955451327781,-0.96767632391912,"sum"
"27",1999,"NFLS",0.947582978626768,-0.926015406895153,"sum"
"28",2000,"NFLS",0.868396481145161,-0.934010467531545,"sum"
"29",2001,"NFLS",1.01482665215993,-0.919226152863098,"sum"
"30",2002,"NFLS",0.824134681502851,-0.938479357850861,"sum"
"31",2003,"NFLS",0.547695486319138,-0.96639002694293,"sum"
"32",2004,"NFLS",0.551108680064149,-0.966045414012405,"sum"
"33",1973,"SS",12.7493823127471,-0.849207561680085,"sum"
"34",1974,"SS",14.4100540719301,-0.657987079173471,"sum"
"35",1975,"SS",14.4148488511062,-0.657434977301141,"sum"
"36",1976,"SS",15.8568563858155,-0.491392907252982,"sum"
"37",1977,"SS",24.4138485246186,0.493914488106229,"sum"
"38",1978,"SS",22.0121532567917,0.217367768136932,"sum"
"39",1979,"SS",28.0023606890346,0.907118978256676,"sum"
"40",1980,"SS",26.250807406115,0.705433809562842,"sum"
"41",1981,"SS",28.1963807282335,0.929459699899236,"sum"
"42",1982,"SS",28.1124377374164,0.919793961249605,"sum"
"43",1983,"SS",31.6581336016465,1.32806830579155,"sum"
"44",1984,"SS",37.7221917506729,2.02632316488269,"sum"
"45",1985,"SS",36.3857042215083,1.87243135045414,"sum"
"46",1986,"SS",32.0972128456296,1.37862672856765,"sum"
"47",1987,"SS",24.9406059467237,0.554568743146026,"sum"
"48",1988,"SS",28.2851682861079,0.939683273319721,"sum"
"49",1989,"SS",22.3480056483549,0.256039983769307,"sum"
"50",1990,"SS",25.1494053885056,0.578611260750043,"sum"
"51",1991,"SS",25.660882609342,0.637506054630072,"sum"
"52",1992,"SS",16.9202621393284,-0.368945493932069,"sum"
"53",1993,"SS",14.1698188811828,-0.685649312143807,"sum"
"54",1994,"SS",15.2938943517445,-0.556215995375415,"sum"
"55",1995,"SS",11.3292234690157,-1.01273383219844,"sum"
"56",1996,"SS",15.1414560359091,-0.573768728566272,"sum"
"57",1997,"SS",13.0764410146113,-0.811547908330388,"sum"
"58",1998,"SS",8.861090529335,-1.29693061522098,"sum"
"59",1999,"SS",8.56160374984409,-1.3314154591776,"sum"
"60",2000,"SS",8.63951770390945,-1.32244394279697,"sum"
"61",2001,"SS",11.2369028386706,-1.02336422642432,"sum"
"62",2002,"SS",13.5824081834379,-0.753287577460958,"sum"
"63",2003,"SS",8.37743401158884,-1.35262195348784,"sum"
"64",1973,"NEUS",0.443309330674919,0.59710874727971,"sum"
"65",1974,"NEUS",0.464687888518432,0.694127484229312,"sum"
"66",1975,"NEUS",0.470915674002456,0.722390002499993,"sum"
"67",1976,"NEUS",0.484699854363442,0.784944445053944,"sum"
"68",1977,"NEUS",0.909045004459428,2.710679136531,"sum"
"69",1978,"NEUS",0.873366027289515,2.54876319598831,"sum"
"70",1979,"NEUS",0.77054113587479,2.0821301721399,"sum"
"71",1980,"NEUS",0.54823310246154,1.07326676922108,"sum"
"72",1981,"NEUS",0.434582110432189,0.557503461870452,"sum"
"73",1982,"NEUS",0.298751537859147,-0.0589137299082918,"sum"
"74",1983,"NEUS",0.201935196145289,-0.498279156608939,"sum"
"75",1984,"NEUS",0.347600030602428,0.162767222686129,"sum"
"76",1985,"NEUS",0.214525625125218,-0.441142116485487,"sum"
