"","year","Trophic_interval","Species","chao","chao.se","jack1","jack1.se","jack2","boot","boot.se","n","total_sr","total_sr_chao","total_sr_jack1","total_sr_jack2","total_sr_boot","tips","tips_chao","tips_jack1","tips_jack2","tips_boot","Region"
"1",1973,"3.0-3.4",15,20.9259259259259,7.12321281104603,18.9506172839506,1.97530864197531,22.8518518518519,16.4974474802677,0.989849882123046,81,43,55.346657633243,52.8774465522433,58.7780788919,47.3371133696373,0.348837209302326,0.378088340303989,0.358387526622097,0.388781877234864,0.348509790857872,"NFLS"
"2",1973,"3.5-3.9",19,25.1737804878049,7.46485201815047,23.9390243902439,2.20879885582296,26.8899427883168,21.2092624887061,1.30244118590707,82,43,55.346657633243,52.8774465522433,58.7780788919,47.3371133696373,0.441860465116279,0.454838314801591,0.452726558318053,0.4574825053022,0.448047229308029,"NFLS"
"3",1973,"4.0-4.4",9,9.24695121951219,0.722068757941871,9.98780487804878,0.98780487804878,9.03628425173141,9.63040340066356,0.675079169394736,82,43,55.346657633243,52.8774465522433,58.7780788919,47.3371133696373,0.209302325581395,0.16707334489442,0.18888591505985,0.153735617462936,0.203442979834099,"NFLS"
"4",1973,"4.5-4.9",0,0,NA,0,NA,0,0,NA,NA,43,55.346657633243,52.8774465522433,58.7780788919,47.3371133696373,0,0,0,0,0,"NFLS"
"5",1974,"3.0-3.4",9,9.47727272727273,1.27130602463155,9.95454545454546,0.954545454545455,9.9978354978355,9.5194494934926,0.646761968108627,22,29,32.5,34.7272727272727,35.8528138528138,31.8628986205168,0.310344827586207,0.291608391608392,0.286649214659686,0.278857763825163,0.298762821514391,"NFLS"
"6",1974,"3.5-3.9",13,15.5454545454545,3.34433446335064,16.8181818181818,3.06135604372413,17.8571428571429,14.8491491354366,1.90930368759839,22,29,32.5,34.7272727272727,35.8528138528138,31.8628986205168,0.448275862068966,0.478321678321678,0.484293193717278,0.498068099492876,0.466032588945788,"NFLS"
"7",1974,"4.0-4.4",7,7.47727272727273,1.27130602463155,7.95454545454546,0.954545454545455,7.9978354978355,7.49429999158758,0.585847852062919,22,29,32.5,34.7272727272727,35.8528138528138,31.8628986205168,0.241379310344828,0.23006993006993,0.229057591623037,0.223074136681961,0.235204589539821,"NFLS"
"8",1974,"4.5-4.9",0,0,NA,0,NA,0,0,NA,NA,29,32.5,34.7272727272727,35.8528138528138,31.8628986205168,0,0,0,0,0,"NFLS"
"9",1975,"3.0-3.4",8,8.96428571428571,2.17570337071253,9.92857142857143,1.94634665620553,11.7857142857143,8.73982617979166,0.986478251336271,28,27,34.4700328407225,34.7140120415983,39.4561562320183,30.3310360474234,0.296296296296296,0.260060260334171,0.286010485237889,0.298704065758699,0.288147960594775,"NFLS"
"10",1975,"3.5-3.9",10,12.1724137931034,3.29007804699088,12.8965517241379,1.67232491765271,13.8940886699507,11.3404340285735,0.955112260439959,29,27,34.4700328407225,34.7140120415983,39.4561562320183,30.3310360474234,0.37037037037037,0.353130321904512,0.371508534037605,0.352139944607068,0.373888778835066,"NFLS"
"11",1975,"4.0-4.4",9,13.3333333333333,6.93888666488711,11.8888888888889,2.16975089124101,13.7763532763533,10.2507758390582,1.11933131027061,27,27,34.4700328407225,34.7140120415983,39.4561562320183,30.3310360474234,0.333333333333333,0.386809417761317,0.342480980724506,0.349155989634233,0.337963260570159,"NFLS"
"12",1975,"4.5-4.9",0,0,NA,0,NA,0,0,NA,NA,27,34.4700328407225,34.7140120415983,39.4561562320183,30.3310360474234,0,0,0,0,0,"NFLS"
"13",1976,"3.0-3.4",15,15.9882352941176,1.8519605248134,16.9764705882353,1.39757575575694,16.9997198879552,16.1849963412117,0.949036192504284,85,47,59.8795289488151,56.903999691367,64.7823071973502,51.2468550179839,0.319148936170213,0.267006697861373,0.298335278369032,0.262413004775639,0.315824187367829,"NFLS"
"14",1976,"3.5-3.9",18,23.9473684210526,7.17395588369368,21.9649122807018,2.43158147894858,25.8947368421053,19.5325239872689,1.22969211296124,114,47,59.8795289488151,56.903999691367,64.7823071973502,51.2468550179839,0.382978723404255,0.399925798372976,0.385999444675839,0.39971927463498,0.381145808467943,"NFLS"
